campaign_id,campaign_name,campaign_code,campaign_type,track,objective,primary_kpi,kpi_target,priority_score,status,start_date,end_date,send_datetime_gst,target_audience,target_location,target_industry,offer,offer_mechanic,margin_floor_pct,products,supplier_confirmed,landing_page_url,email_campaign_name,creative_assets_path,cdn_base_url,git_tag,apollo_list,mailchimp_segment,audience_size_sent,suppressions_applied,utm_campaign,owner,budget_aed,spend_actual_aed,delivered,open_rate,ctr,ctor,bounce_rate,unsub_rate,spam_rate,conv_rate,sessions,conversions,revenue_aed,gross_profit_aed,roi,best_subject_line,best_creative,best_segment,post_mortem_url,lessons_learned
DTM-2026-06-SUMMER,Summer Is Here 2026,summer,seasonal,b2c,,,,,,2026-06-01,2026-08-31,,UAE residents seeking indoor and staycation experiences,"Dubai, Abu Dhabi, Sharjah",,,,,"Desert Safari, Louvre Abu Dhabi, Zayed National Museum, Natural History Museum, Tandem Skydive, Private Charter Poseidon, Wikit",,,,campaigns/2026/06-summer-is-here/,,campaign/2026-summer,,,,,summer_2026,Kenneth Tablang,,,,,,,,,,,,,,,,,,,,
DTM-2026-08-BTS,Back to School 2026,bts,seasonal,b2c,,bookings,,46,IDEA,,,,Families with school-age children; UAE residents,"Dubai, Abu Dhabi, Sharjah",,,,,,,,,campaigns/2026/08-back-to-school/,,campaign/2026-bts,,,,,bts_2026,Kenneth Tablang,0,,,,,,,,,,,,,,,,,,
DTM-2026-11-NDAY,UAE National Day 2026,nday,seasonal,b2c,,,,46,IDEA,2026-11-25,2026-12-03,,UAE residents and tourists; families,"Dubai, Abu Dhabi, Sharjah",,,,,,,,,campaigns/2026/11-national-day/,,campaign/2026-nday,,,,,nday_2026,Kenneth Tablang,,,,,,,,,,,,,,,,,,,
